"taxonID","isMarine","isFreshwater","isTerrestrial"
"rinse-checklist:taxon:03f1b2cfc13c7e23d1bff84e2413ab06","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03f820476281ffde5a9e3f43e765eb5a","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03fdcef39a1b06695cdb5c3d4e496869","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03fdd6671bb4fb5d6fecadbc67883489","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03fdef0b966d13ca9240af4b7730617d","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:041578d2b0fb3c6f959c3b3b8d88d50f","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:041680518fbe13162e49a7c8f71344e8","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0417bd5461d3cc9f13aa98cf7a12b076","TRUE","FALSE","FALSE"
"rinse-checklist:taxon:04242d2198ab03f26552396849b4cf78","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:042b0f588b05878d1a5f358baac05afa","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0435b795aaef9fee508fdaa7a763acec","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:043869458331aa3d038f50ac6a5d6957","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:043c4419d276e33ad44e8c3694f21f8d","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:044c8c9e7355caf2d036bd9ec7c4ab86","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0458662d1966450af29ded622a8875bf","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:045f577f603948c5098c55a629519056","TRUE","TRUE","FALSE"
"rinse-checklist:taxon:04635735e92169622b2f357595311dd7","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:047dd8962a2ba510cfbb1ce4275d4fda","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:047fb2a416aa6cced9165f80e29ab7ae","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04851679ff3b2605c2c1a083ee782223","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:049b8e77e13a828f5b11af98fc6af6e6","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04da1e26637ebc438eb919858b957f41","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04dc7d737e3d018f8cc6acc4260c7e62","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04e85e8617f61a067e448ac32c01e767","FALSE","TRUE","FALSE"
"rinse-checklist:taxon:04ed919988cd56ce6f1901b52748f86c","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04f04aaa50d0b52e3b04e82c2bc97107","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04f164859a415c0988255e0003b41807","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04f3065808e5ae30b2e0ea5073ef1630","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:04fcaea11a465102668703d73936acea","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:05030b26343e322afa8a778af7f3df3b","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0516e62a9c7e55025ccf2af6c2711eea","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:051764b7bc2fd2474ac24ce608a25af2","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:051ce5a44bb82ec5231ea491b78f8320","FALSE","FALSE","TRUE"
